Season,RaceNumber,Driver,Team,FP1,FP2,FP3,Qualifying,SprintShootout,Sprint,Race
2018,4,Esteban Ocon,Force India,5.0,7.0,9.0,7.0,,,19.0
2018,4,Max Verstappen,Red Bull Racing,6.0,3.0,4.0,5.0,,,16.0
2018,4,Fernando Alonso,McLaren,7.0,6.0,11.0,13.0,,,7.0
2018,4,Sergey Sirotkin,Williams,8.0,17.0,10.0,12.0,,,20.0
2018,4,Pierre Gasly,Toro Rosso,9.0,15.0,13.0,17.0,,,12.0
2018,4,Sebastian Vettel,Ferrari,10.0,11.0,1.0,1.0,,,4.0
2018,4,Lance Stroll,Williams,11.0,14.0,8.0,11.0,,,8.0
2018,4,Brendon Hartley,Toro Rosso,12.0,18.0,20.0,19.0,,,10.0
2018,4,Nico Hulkenberg,Renault,13.0,10.0,17.0,9.0,,,18.0
2018,4,Romain Grosjean,Haas F1 Team,14.0,13.0,15.0,20.0,,,15.0
2018,4,Kimi Räikkönen,Ferrari,15.0,2.0,3.0,6.0,,,2.0
2018,4,Charles Leclerc,Sauber,16.0,16.0,14.0,14.0,,,6.0
2018,4,Marcus Ericsson,Sauber,17.0,20.0,19.0,18.0,,,11.0
2018,4,Kevin Magnussen,Haas F1 Team,18.0,9.0,7.0,15.0,,,13.0
2018,4,Stoffel Vandoorne,McLaren,19.0,19.0,18.0,16.0,,,9.0
2018,4,Carlos Sainz,Renault,20.0,8.0,16.0,10.0,,,5.0
2018,5,Valtteri Bottas,Mercedes,1.0,5.0,2.0,2.0,,,2.0
2018,5,Lewis Hamilton,Mercedes,2.0,1.0,1.0,1.0,,,1.0
2018,5,Sebastian Vettel,Ferrari,3.0,4.0,3.0,3.0,,,4.0
2018,5,Max Verstappen,Red Bull Racing,4.0,3.0,12.0,5.0,,,3.0
2018,5,Kimi Räikkönen,Ferrari,5.0,6.0,4.0,4.0,,,17.0
2018,5,Fernando Alonso,McLaren,6.0,12.0,9.0,8.0,,,8.0
2018,5,Daniel Ricciardo,Red Bull Racing,7.0,2.0,5.0,6.0,,,5.0
2018,5,Romain Grosjean,Haas F1 Team,8.0,7.0,7.0,10.0,,,18.0
2018,5,Stoffel Vandoorne,McLaren,9.0,9.0,14.0,11.0,,,15.0
2018,5,Pierre Gasly,Toro Rosso,10.0,14.0,10.0,12.0,,,19.0
2018,5,Kevin Magnussen,Haas F1 Team,11.0,8.0,6.0,7.0,,,6.0
2018,5,Charles Leclerc,Sauber,12.0,16.0,15.0,14.0,,,10.0
2018,5,Sergio Perez,Force India,13.0,10.0,16.0,15.0,,,9.0
2018,5,Marcus Ericsson,Sauber,14.0,15.0,18.0,17.0,,,13.0
2018,5,Carlos Sainz,Renault,15.0,17.0,8.0,9.0,,,7.0
2018,5,Esteban Ocon,Force India,16.0,11.0,13.0,13.0,,,16.0
2018,5,Nico Hulkenberg,Renault,17.0,13.0,11.0,16.0,,,20.0
2018,5,Brendon Hartley,Toro Rosso,18.0,18.0,17.0,20.0,,,12.0
2018,5,Robert Kubica,Williams,19.0,,,,,,
2018,5,Lance Stroll,Williams,20.0,19.0,19.0,19.0,,,11.0
2018,5,Sergey Sirotkin,Williams,,20.0,20.0,18.0,,,14.0
2018,6,Daniel Ricciardo,Red Bull Racing,1.0,1.0,1.0,1.0,,,1.0
2018,6,Max Verstappen,Red Bull Racing,2.0,2.0,2.0,20.0,,,9.0
2018,6,Lewis Hamilton,Mercedes,3.0,4.0,5.0,3.0,,,3.0
2018,6,Sebastian Vettel,Ferrari,4.0,3.0,3.0,2.0,,,2.0
2018,6,Kimi Räikkönen,Ferrari,5.0,5.0,4.0,4.0,,,4.0
2018,6,Carlos Sainz,Renault,6.0,10.0,9.0,8.0,,,10.0
2018,6,Valtteri Bottas,Mercedes,7.0,6.0,6.0,5.0,,,5.0
2018,6,Sergio Perez,Force India,8.0,12.0,13.0,9.0,,,12.0
2018,6,Romain Grosjean,Haas F1 Team,9.0,18.0,18.0,15.0,,,15.0
2018,6,Sergey Sirotkin,Williams,10.0,15.0,10.0,13.0,,,16.0
2018,6,Esteban Ocon,Force India,11.0,13.0,12.0,6.0,,,6.0
2018,6,Brendon Hartley,Toro Rosso,12.0,11.0,7.0,16.0,,,19.0
2018,6,Nico Hulkenberg,Renault,13.0,7.0,14.0,11.0,,,8.0
2018,6,Pierre Gasly,Toro Rosso,14.0,14.0,8.0,10.0,,,7.0
2018,6,Stoffel Vandoorne,McLaren,15.0,8.0,11.0,12.0,,,14.0
2018,6,Charles Leclerc,Sauber,16.0,17.0,17.0,14.0,,,18.0
2018,6,Fernando Alonso,McLaren,17.0,9.0,15.0,7.0,,,20.0
2018,6,Lance Stroll,Williams,18.0,19.0,16.0,18.0,,,17.0
2018,6,Marcus Ericsson,Sauber,19.0,20.0,20.0,17.0,,,11.0
2018,6,Kevin Magnussen,Haas F1 Team,20.0,16.0,19.0,19.0,,,13.0
2018,7,Max Verstappen,Red Bull Racing,1.0,1.0,1.0,3.0,,,3.0
2018,7,Lewis Hamilton,Mercedes,2.0,4.0,4.0,4.0,,,5.0
2018,7,Daniel Ricciardo,Red Bull Racing,3.0,3.0,5.0,6.0,,,4.0
2018,7,Sebastian Vettel,Ferrari,4.0,5.0,2.0,1.0,,,1.0
2018,7,Valtteri Bottas,Mercedes,5.0,6.0,6.0,2.0,,,2.0
