RaceID,Season,RaceNumber,Drivers,MAE,RMSE,SpearmanRho,SpearmanP,WinnerCorrect,PodiumHitRate,Top5HitRate,WgtSpearman
2018_R4,2018,4,13,4.538461538461538,5.470198983864931,0.8186813186813187,0.0006209883849300375,1,0.3333333333333333,0.4,0.10056182013584203
2018_R5,2018,5,14,3.357142857142857,4.183300132670378,0.9516483516483516,1.6616136985679396e-07,1,0.6666666666666666,0.8,0.6115762950999368
2018_R7,2018,7,17,2.1176470588235294,2.678893538055459,0.9068627450980394,5.182872510350788e-07,0,0.6666666666666666,0.8,0.8802507562054979
2018_R8,2018,8,15,2.6666666666666665,3.0550504633038935,0.8964285714285712,6.066143021729969e-06,1,0.3333333333333333,0.8,0.7977536017485152
2018_R18,2018,18,14,3.857142857142857,4.456135417280635,0.8945054945054945,1.579830848680049e-05,0,0.3333333333333333,0.8,0.49116586636684145
2018_R20,2018,20,18,2.1666666666666665,2.697735676039774,0.9029927760577915,2.8975155060171095e-07,1,0.3333333333333333,0.8,0.8824972745944919
2019_R6,2019,6,19,2.210526315789474,2.955814964652415,0.8666666666666666,1.5893774885934944e-06,1,0.6666666666666666,1.0,0.8825728586350721
2019_R9,2019,9,20,1.7,2.792848008753788,0.882706766917293,2.5881473879186093e-07,0,0.6666666666666666,1.0,0.8983305897827686
2019_R12,2019,12,19,1.631578947368421,2.2124052165246,0.9315789473684211,6.8716449563255465e-09,1,0.6666666666666666,0.8,0.9324265631725301
2019_R17,2019,17,17,2.6470588235294117,2.9003042436755413,0.9240196078431374,1.1844905443995682e-07,0,0.6666666666666666,0.6,0.8446271661494765
2019_R18,2019,18,18,2.388888888888889,2.758824226207808,0.9029927760577915,2.8975155060171095e-07,1,0.3333333333333333,0.8,0.8813782902496161
2019_R19,2019,19,16,1.625,2.345207879911715,0.961764705882353,2.895080134041856e-09,1,1.0,0.8,0.9027095695418437
2020_R1,2020,1,11,3.6363636363636362,4.861724348043977,0.8545454545454546,0.0008066741521648989,0,0.6666666666666666,1.0,0.1433769067999071
2020_R6,2020,6,19,1.631578947368421,1.9867985355975657,0.9526315789473684,3.243645670651999e-10,1,1.0,0.8,0.9412929227587156
2020_R7,2020,7,17,2.0,2.42535625036333,0.9240196078431374,1.1844905443995682e-07,1,1.0,0.8,0.9048241036501758
2020_R12,2020,12,19,2.3157894736842106,3.008759142727674,0.863157894736842,1.957499940679194e-06,1,1.0,0.8,0.8807329289821388
2021_R7,2021,7,20,2.3,3.331666249791536,0.8330827067669173,5.123854828137097e-06,1,1.0,0.8,0.8720349180553856
2021_R10,2021,10,18,3.0,3.872983346207417,0.7956656346749225,7.866871839732892e-05,0,0.6666666666666666,0.6,0.7839281297401175
2021_R15,2021,15,18,2.388888888888889,3.1710495984067415,0.8204334365325078,3.0420805277771525e-05,1,0.6666666666666666,0.8,0.8340363904931742
2022_R10,2022,10,14,3.9285714285714284,5.021382848806264,0.6747252747252748,0.008117706397553251,0,0.3333333333333333,0.8,0.3779557407866514
2022_R18,2022,18,18,2.2777777777777777,3.4075080500434787,0.8328173374613003,1.7901901423159217e-05,1,1.0,0.8,0.8213477559270395
2022_R20,2022,20,18,1.7222222222222223,2.3687784005919825,0.933952528379773,1.4781482308613607e-08,1,0.6666666666666666,1.0,0.9145631796464258
2023_R2,2023,2,17,2.1176470588235294,3.0097879542273014,0.9068627450980394,5.182872510350788e-07,1,1.0,0.8,0.8563708605275469
2023_R9,2023,9,11,1.8181818181818181,2.449489742783178,0.7181818181818183,0.01279959806885844,1,0.6666666666666666,0.6,0.7290904959077591
2023_R14,2023,14,16,2.3125,3.191786333700926,0.8764705882352942,8.439118583861072e-06,1,0.6666666666666666,1.0,0.8210735505753972
2023_R17,2023,17,13,2.8461538461538463,3.7313639494261244,0.7747252747252747,0.0018713615028719075,1,0.3333333333333333,0.6,0.5436550981771228
2023_R19,2023,19,15,2.1333333333333333,2.943920288775949,0.8857142857142855,1.1199821851208484e-05,1,0.6666666666666666,0.8,0.8111751762721129
2023_R20,2023,20,9,3.2222222222222223,3.929942040850532,0.48333333333333334,0.18746985521554207,1,0.3333333333333333,0.4,-0.06065842366970964
2024_R4,2024,4,9,1.1111111111111112,1.247219128924647,0.8833333333333333,0.0015905004234978686,1,1.0,1.0,0.9083165615608583
2024_R7,2024,7,9,0.7777777777777778,1.2018504251546631,0.9666666666666667,2.155031274835775e-05,1,1.0,1.0,0.9201478538321646
2024_R20,2024,20,8,1.5,2.0615528128088303,0.5952380952380953,0.11952980613879262,0,0.6666666666666666,0.8,0.6770135151547684
2024_R22,2024,22,16,2.0,2.5,0.9,2.0510898633789e-06,0,0.3333333333333333,0.8,0.8286040352240382
2024_R24,2024,24,10,2.3,3.3015148038438356,0.35757575757575755,0.3103760917056799,1,0.6666666666666666,0.6,0.4974472690936369
2025_R13,2025,13,19,2.3157894736842106,3.340343505815248,0.8350877192982457,8.647203091664366e-06,0,1.0,1.0,0.8552805884160739
2025_R21,2025,21,17,2.764705882352941,3.280961121737492,0.8578431372549021,1.0661126185774074e-05,1,0.3333333333333333,0.8,0.8135588948697136
