RaceID,Season,RaceNumber,MAE,RMSE,R2,SpearmanRho
2018_R4,2018,4,4.6,5.513619500836088,-2.684848484848485,0.8060606060606059
2018_R5,2018,5,2.3,3.0166206257996713,-0.10303030303030303,0.9272727272727272
2018_R7,2018,7,1.1,1.5811388300841898,0.696969696969697,0.9030303030303028
2018_R8,2018,8,2.1,2.588435821108957,0.18787878787878787,0.6484848484848483
2018_R18,2018,18,3.3,3.8600518131237567,-0.8060606060606061,0.8060606060606059
2018_R20,2018,20,1.8,2.32379000772445,0.34545454545454546,0.7454545454545454
2019_R6,2019,6,1.9,2.6267851073127395,0.1636363636363637,0.9151515151515152
2019_R9,2019,9,1.3,1.9235384061671346,0.5515151515151515,0.8303030303030302
2019_R12,2019,12,1.3,1.9748417658131499,0.5272727272727273,0.7696969696969697
2019_R17,2019,17,2.9,3.391164991562634,-0.39393939393939403,0.8060606060606059
2019_R18,2019,18,2.2,2.569046515733026,0.19999999999999996,0.8181818181818182
2019_R19,2019,19,1.2,1.9493588689617927,0.5393939393939393,0.9515151515151514
2020_R1,2020,1,3.1,4.230839160261236,-1.16969696969697,0.8060606060606059
2020_R6,2020,6,1.6,2.0,0.5151515151515151,0.8181818181818182
2020_R7,2020,7,1.6,2.0976176963403033,0.4666666666666667,0.8181818181818182
2020_R12,2020,12,1.4,2.1908902300206643,0.4181818181818182,0.8909090909090909
2021_R7,2021,7,1.6,2.449489742783178,0.2727272727272727,0.9878787878787878
2021_R10,2021,10,2.8,3.3166247903554,-0.33333333333333326,0.9636363636363635
2021_R15,2021,15,2.3,3.391164991562634,-0.39393939393939403,0.6606060606060605
2022_R10,2022,10,4.3,5.394441583704471,-2.5272727272727273,0.6242424242424242
2022_R18,2022,18,2.4,3.924283374069717,-0.8666666666666667,0.8181818181818182
2022_R20,2022,20,1.2,1.7888543819998317,0.6121212121212121,0.8303030303030302
2023_R2,2023,2,1.6,2.0976176963403033,0.4666666666666667,0.8424242424242423
2023_R9,2023,9,1.8,2.569046515733026,0.19999999999999996,0.6
2023_R14,2023,14,1.7,2.6267851073127395,0.1636363636363637,0.9151515151515152
2023_R17,2023,17,3.1,4.03732584763727,-0.9757575757575758,0.7212121212121211
2023_R19,2023,19,2.0,2.8284271247461903,0.030303030303030276,0.8787878787878788
2023_R20,2023,20,3.1,3.8078865529319543,-0.7575757575757576,0.6
2024_R4,2024,4,1.2,1.4142135623730951,0.7575757575757576,0.8787878787878788
2024_R7,2024,7,0.8,1.1832159566199232,0.8303030303030303,0.9636363636363635
2024_R20,2024,20,1.7,2.3021728866442674,0.35757575757575755,0.7333333333333332
2024_R22,2024,22,2.1,2.4289915602982237,0.2848484848484848,0.6606060606060605
2024_R24,2024,24,2.3,3.3015148038438356,-0.3212121212121213,0.35757575757575755
2025_R13,2025,13,1.6,2.6076809620810595,0.17575757575757578,0.9757575757575757
2025_R21,2025,21,2.5,2.9154759474226504,-0.030303030303030276,0.8666666666666665
