w_rf,w_xgb,w_mlp,median_rho,mean_rho,rho_gt_05,mae,r2
0.05,0.05,0.9,0.7443609022556391,0.7065091299677766,30,3.1085714285714285,0.4130182599355532
0.05,0.1,0.85,0.7443609022556391,0.7073254564983887,30,3.1028571428571428,0.4146509129967777
0.05,0.15,0.8,0.7443609022556391,0.7067239527389902,30,3.1,0.4134479054779807
0.05,0.2,0.75,0.7488721804511278,0.7047905477980665,30,3.117142857142857,0.4095810955961332
0.05,0.25,0.7,0.7503759398496239,0.705220193340494,30,3.111428571428571,0.41044038668098815
0.05,0.3,0.65,0.7488721804511278,0.706766917293233,30,3.1085714285714285,0.4135338345864662
0.05,0.35,0.6,0.7488721804511278,0.7065950590762622,30,3.105714285714286,0.41319011815252416
0.05,0.4,0.55,0.7488721804511278,0.7068528464017185,30,3.1,0.41370569280343716
0.05,0.45,0.5,0.7518796992481201,0.7083995703544576,30,3.085714285714286,0.4167991407089151
0.05,0.5,0.45,0.7518796992481201,0.7087003222341568,30,3.085714285714286,0.4174006444683136
0.05,0.55,0.4,0.7518796992481201,0.7079269602577872,30,3.0885714285714285,0.4158539205155747
0.05,0.6,0.35,0.7624060150375939,0.7076262083780881,30,3.08,0.4152524167561762
0.05,0.65,0.3,0.7488721804511278,0.7090870032223415,30,3.0742857142857143,0.41817400644468317
0.05,0.7,0.25,0.7563909774436091,0.7079269602577872,30,3.0828571428571427,0.4158539205155747
0.05,0.75,0.2,0.7458646616541353,0.7074543501611171,31,3.077142857142857,0.41490870032223415
0.05,0.8,0.15,0.7473684210526315,0.7070676691729323,31,3.0742857142857143,0.4141353383458647
0.05,0.85,0.1,0.7398496240601502,0.7035875402792696,31,3.105714285714286,0.40717508055853924
0.05,0.9,0.05,0.7398496240601502,0.7028141783029,31,3.1142857142857143,0.4056283566058002
0.1,0.05,0.85,0.7443609022556391,0.7071106337271751,30,3.097142857142857,0.4142212674543502
0.1,0.1,0.8,0.7488721804511278,0.7066809881847474,30,3.1028571428571428,0.4133619763694951
0.1,0.15,0.75,0.7488721804511278,0.7054779806659506,30,3.1142857142857143,0.41095596133190115
0.1,0.2,0.7,0.7503759398496239,0.7052631578947369,30,3.12,0.41052631578947374
0.1,0.25,0.65,0.7488721804511278,0.7073254564983888,30,3.1085714285714285,0.4146509129967777
0.1,0.3,0.6,0.7488721804511278,0.7074973147153598,30,3.0942857142857143,0.41499462943071963
0.1,0.35,0.55,0.7488721804511278,0.707282491944146,30,3.0942857142857143,0.4145649838882921
0.1,0.4,0.5,0.7518796992481201,0.7081847475832438,30,3.0885714285714285,0.4163694951664877
0.1,0.45,0.45,0.7518796992481201,0.7099892588614393,30,3.0742857142857143,0.41997851772287864
0.1,0.5,0.4,0.7518796992481201,0.7090010741138562,30,3.077142857142857,0.4180021482277121
0.1,0.55,0.35,0.7518796992481201,0.7087003222341568,30,3.08,0.4174006444683136
0.1,0.6,0.3,0.7563909774436091,0.7087862513426423,30,3.0742857142857143,0.4175725026852847
0.1,0.65,0.25,0.7563909774436091,0.7075402792696026,30,3.08,0.4150805585392051
0.1,0.7,0.2,0.7458646616541353,0.7070676691729323,31,3.08,0.4141353383458647
0.1,0.75,0.15,0.7458646616541353,0.7053920515574651,31,3.0885714285714285,0.4107841031149302
0.1,0.8,0.1,0.7398496240601502,0.7045327604726102,31,3.0942857142857143,0.4090655209452202
0.1,0.85,0.05,0.7398496240601502,0.7027282491944146,31,3.111428571428571,0.40545649838882925
0.15,0.05,0.8,0.7488721804511278,0.7065950590762621,30,3.105714285714286,0.41319011815252416
0.15,0.1,0.75,0.7488721804511278,0.7061224489795918,30,3.105714285714286,0.4122448979591836
0.15,0.15,0.7,0.7488721804511278,0.7060365198711063,30,3.111428571428571,0.41207303974221265
0.15,0.2,0.65,0.7488721804511278,0.7080128893662727,30,3.1,0.41602577873254565
0.15,0.25,0.6,0.7548872180451127,0.7083566058002149,30,3.0885714285714285,0.4167132116004296
0.15,0.3,0.55,0.7488721804511278,0.7082706766917293,30,3.0828571428571427,0.41654135338345866
0.15,0.35,0.5,0.7518796992481201,0.7094736842105264,30,3.077142857142857,0.4189473684210526
0.15,0.4,0.45,0.7518796992481201,0.7099462943071966,30,3.0714285714285716,0.41989258861439316
0.15,0.45,0.4,0.7443609022556391,0.7092588614393126,30,3.0742857142857143,0.4185177228786251
0.15,0.5,0.35,0.7563909774436091,0.7102470461868958,30,3.0714285714285716,0.42049409237379165
0.15,0.55,0.3,0.7563909774436091,0.70968850698174,30,3.0685714285714285,0.41937701396348015
0.15,0.6,0.25,0.7533834586466165,0.7078839957035444,30,3.08,0.4157679914070892
0.15,0.65,0.2,0.7458646616541353,0.7081847475832438,31,3.0742857142857143,0.4163694951664877
0.15,0.7,0.15,0.7458646616541353,0.7064661654135337,31,3.077142857142857,0.4129323308270677
0.15,0.75,0.1,0.7398496240601502,0.7053061224489796,31,3.085714285714286,0.4106122448979592
