Season,RaceNumber,Driver,Actual,Predicted,Difference
2024,24,Charles Leclerc,3,6.0,3.0
2024,24,Lewis Hamilton,4,9.0,5.0
2024,24,George Russell,5,5.0,0.0
2024,24,Max Verstappen,6,4.0,2.0
2024,24,Pierre Gasly,7,8.0,1.0
2024,24,Nico Hulkenberg,8,7.0,1.0
2024,24,Fernando Alonso,9,11.0,2.0
2024,24,Oscar Piastri,10,2.0,8.0
2024,24,Alexander Albon,11,17.0,6.0
2024,24,Yuki Tsunoda,12,12.0,0.0
2024,24,Guanyu Zhou,13,20.0,7.0
2024,24,Lance Stroll,14,15.0,1.0
2024,24,Jack Doohan,15,18.0,3.0
2024,24,Kevin Magnussen,16,16.0,0.0
2024,24,Liam Lawson,17,13.0,4.0
2024,24,Valtteri Bottas,18,14.0,4.0
2024,24,Franco Colapinto,19,19.0,0.0
2024,24,Sergio Perez,20,10.0,10.0
2025,13,Oscar Piastri,1,2.0,1.0
2025,13,Lando Norris,2,1.0,1.0
2025,13,Charles Leclerc,3,3.0,0.0
2025,13,Max Verstappen,4,4.0,0.0
2025,13,George Russell,5,5.0,0.0
2025,13,Alexander Albon,6,6.0,0.0
2025,13,Lewis Hamilton,7,9.0,2.0
2025,13,Liam Lawson,8,13.0,5.0
2025,13,Gabriel Bortoleto,9,10.0,1.0
2025,13,Pierre Gasly,10,16.0,6.0
2025,13,Oliver Bearman,11,11.0,0.0
2025,13,Nico Hulkenberg,12,17.0,5.0
2025,13,Yuki Tsunoda,13,7.0,6.0
2025,13,Lance Stroll,14,19.0,5.0
2025,13,Esteban Ocon,15,12.0,3.0
2025,13,Kimi Antonelli,16,15.0,1.0
2025,13,Fernando Alonso,17,18.0,1.0
2025,13,Carlos Sainz,18,14.0,4.0
2025,13,Franco Colapinto,19,20.0,1.0
2025,13,Isack Hadjar,20,8.0,12.0
2025,21,Lando Norris,1,1.0,0.0
2025,21,Kimi Antonelli,2,4.0,2.0
2025,21,Max Verstappen,3,6.0,3.0
2025,21,George Russell,4,5.0,1.0
2025,21,Oscar Piastri,5,2.0,3.0
2025,21,Oliver Bearman,6,11.0,5.0
2025,21,Liam Lawson,7,9.0,2.0
2025,21,Isack Hadjar,8,7.0,1.0
2025,21,Nico Hulkenberg,9,13.0,4.0
2025,21,Pierre Gasly,10,14.0,4.0
2025,21,Alexander Albon,11,12.0,1.0
2025,21,Esteban Ocon,12,18.0,6.0
2025,21,Carlos Sainz,13,15.0,2.0
2025,21,Fernando Alonso,14,10.0,4.0
2025,21,Franco Colapinto,15,20.0,5.0
2025,21,Lance Stroll,16,17.0,1.0
2025,21,Yuki Tsunoda,17,16.0,1.0
2025,21,Lewis Hamilton,18,8.0,10.0
2025,21,Charles Leclerc,19,3.0,16.0
2025,21,Gabriel Bortoleto,20,19.0,1.0
