w_rf,w_xgb,w_mlp,median_rho,mean_rho,rho_gt_05,mae,r2
0.05,0.05,0.9,0.888235294117647,0.8394104863145111,34,2.3844731977818854,0.5883112125505754
0.05,0.1,0.85,0.888235294117647,0.8396905497568922,34,2.377079482439926,0.5916977798293082
0.05,0.15,0.8,0.8901098901098902,0.8404756006193423,34,2.3733826247689462,0.5919922639405022
0.05,0.2,0.75,0.8857142857142855,0.8361956862244346,34,2.391866913123845,0.5874277602169928
0.05,0.25,0.7,0.8821428571428571,0.8370727068891598,34,2.3900184842883547,0.5848510242440441
0.05,0.3,0.65,0.8821428571428571,0.836668794127883,33,2.3900184842883547,0.5885320756339709
0.05,0.35,0.6,0.8821428571428571,0.837168629689638,33,2.3844731977818854,0.5883112125505754
0.05,0.4,0.55,0.8821428571428571,0.8383288832647524,33,2.378927911275416,0.5894155279675535
0.05,0.45,0.5,0.882706766917293,0.8378474761269986,33,2.3715341959334566,0.5911824326347184
0.05,0.5,0.45,0.882706766917293,0.8360105632241857,33,2.3696857670979665,0.5922867480516965
0.05,0.55,0.4,0.882706766917293,0.8342271034287841,33,2.377079482439926,0.5912560536625169
0.05,0.6,0.35,0.882706766917293,0.8344442591169704,33,2.3659889094269873,0.5918450218849052
0.05,0.65,0.3,0.8813186813186813,0.833565521902541,33,2.3659889094269873,0.591550537773711
0.05,0.7,0.25,0.8807017543859648,0.8329122079453792,33,2.378927911275416,0.5879431074115826
0.05,0.75,0.2,0.8766917293233082,0.831534604272331,33,2.3752310536044363,0.5882375915227769
0.05,0.8,0.15,0.8766917293233082,0.8310547281113402,33,2.3696857670979665,0.5855136134942309
0.05,0.85,0.1,0.8766917293233082,0.8269699119986603,32,2.397412199630314,0.5788140999645639
0.05,0.9,0.05,0.8766917293233082,0.8264781525418412,32,2.4048059149722736,0.5764582270750107
0.1,0.05,0.85,0.888235294117647,0.8399507591037888,34,2.3715341959334566,0.5907407064679271
0.1,0.1,0.8,0.8857142857142855,0.840685587448082,34,2.377079482439926,0.5918450218849052
0.1,0.15,0.75,0.8821428571428571,0.8368249905777548,34,2.388170055452865,0.5884584546061724
0.1,0.2,0.7,0.881818181818182,0.8344679807881931,33,2.401109057301294,0.5844092980772528
0.1,0.25,0.65,0.8821428571428571,0.8347337205032914,33,2.3937153419593344,0.5876486233003886
0.1,0.3,0.6,0.8791208791208791,0.8366172512435227,33,2.3752310536044363,0.5900044961899418
0.1,0.35,0.55,0.8833333333333333,0.8380870942414508,33,2.377079482439926,0.5903726013289344
0.1,0.4,0.5,0.882706766917293,0.8366539217821837,33,2.3807763401109057,0.589341906939755
