RaceID,Season,RaceNumber,Drivers,MAE,RMSE,SpearmanRho,SpearmanP
2018_R4,2018,4,20,6.4,7.58946638440411,0.13383458646616542,0.5737559530736434
2018_R5,2018,5,20,4.6,5.585696017507576,0.5308270676691729,0.016035444376776162
2018_R7,2018,7,20,2.4,3.1780497164141406,0.8481203007518796,2.3214303644390417e-06
2018_R8,2018,8,20,3.2,3.7549966711037173,0.78796992481203,3.6994064734938545e-05
2018_R18,2018,18,20,4.8,5.735852159879995,0.5052631578947367,0.023059229474174193
2018_R20,2018,20,20,2.8,3.96232255123179,0.7639097744360903,8.847255639528148e-05
2019_R6,2019,6,20,3.4,4.636809247747852,0.6766917293233082,0.0010509401983731879
2019_R9,2019,9,20,2.2,3.3763886032268267,0.8285714285714285,6.401019922542658e-06
2019_R12,2019,12,20,2.2,2.7748873851023217,0.8842105263157894,2.3175269783488693e-07
2019_R17,2019,17,20,2.8,3.924283374069717,0.7684210526315788,7.571881175260265e-05
2019_R18,2019,18,20,3.0,3.9749213828703582,0.7624060150375939,9.311509889394973e-05
2019_R19,2019,19,20,3.4,5.319774431308154,0.5744360902255639,0.008072760656054091
2020_R1,2020,1,20,4.6,6.131883886702357,0.43458646616541347,0.05551879139596902
2020_R6,2020,6,20,2.2,3.449637662132068,0.8210526315789473,9.148582181124773e-06
2020_R7,2020,7,20,2.3,3.2093613071762426,0.8451127819548873,2.7376438111929376e-06
2020_R12,2020,12,20,2.5,3.1937438845342623,0.8466165413533834,2.5220574871575744e-06
2021_R7,2021,7,20,2.4,3.271085446759225,0.8390977443609022,3.769061929200456e-06
2021_R10,2021,10,20,3.9,5.9076221950967716,0.47518796992481205,0.03422725114507126
2021_R15,2021,15,20,2.6,3.646916505762094,0.7999999999999999,2.2928871994400075e-05
2022_R10,2022,10,20,4.4,5.648008498577175,0.5203007518796992,0.018683221143120664
2022_R18,2022,18,20,3.1,5.029910535983717,0.6195488721804511,0.0035758529444134455
2022_R20,2022,20,20,2.3,3.40587727318528,0.825563909774436,7.39882427109212e-06
2023_R2,2023,2,20,2.9,4.6475800154489,0.675187969924812,0.0010889426257988844
2023_R9,2023,9,20,2.7,3.3466401061363023,0.831578947368421,5.522372803574232e-06
2023_R14,2023,14,20,2.7,3.646916505762094,0.7999999999999999,2.2928871994400075e-05
2023_R17,2023,17,20,4.2,5.9833101206606365,0.4616541353383458,0.040457634341480954
2023_R19,2023,19,20,3.0,4.711687595755898,0.6661654135338345,0.0013421308384466998
2023_R20,2023,20,20,4.5,6.06630035524124,0.4466165413533834,0.04837283310926692
2024_R4,2024,4,20,2.2,2.949576240750525,0.8691729323308269,6.569039927296354e-07
2024_R7,2024,7,20,2.1,2.701851217221259,0.8902255639097743,1.466833096301323e-07
2024_R20,2024,20,20,3.7,4.701063709417263,0.6676691729323309,0.0012967923499898853
2024_R22,2024,22,20,2.8,4.110960958218893,0.7458646616541353,0.0001597022241475124
2024_R24,2024,24,20,3.5,4.449719092257398,0.7022556390977444,0.0005564352866091819
2025_R13,2025,13,20,2.4,3.63318042491699,0.801503759398496,2.154990269369137e-05
2025_R21,2025,21,20,3.8,5.310367218940701,0.5759398496240601,0.007870940177445081
