w_rf,w_xgb,median_rho,mean_rho,rho_gt_05,mae,r2
0.05,0.95,0.7398496240601502,0.6880773361976369,29,3.2,0.3761546723952739
0.1,0.9,0.7428571428571428,0.6885499462943071,30,3.2,0.3770998925886144
0.15,0.85,0.7428571428571428,0.6898388829215897,30,3.1942857142857144,0.37967776584317936
0.2,0.8,0.7428571428571428,0.6897959183673469,30,3.197142857142857,0.3795918367346939
0.25,0.75,0.7428571428571428,0.6896670247046186,30,3.202857142857143,0.37933404940923743
0.3,0.7,0.7413533834586465,0.6908700322234156,30,3.197142857142857,0.3817400644468314
0.35,0.65,0.7413533834586465,0.6899677765843178,30,3.202857142857143,0.3799355531686359
0.4,0.6,0.7413533834586465,0.6909989258861439,30,3.202857142857143,0.38199785177228784
0.45,0.55,0.7338345864661654,0.6898388829215896,30,3.2142857142857144,0.37967776584317936
0.5,0.5,0.7338345864661654,0.6894951664876476,30,3.2142857142857144,0.3789903329752954
0.55,0.44999999999999996,0.732330827067669,0.6899677765843178,30,3.2142857142857144,0.3799355531686359
0.6,0.4,0.7398496240601502,0.6914285714285714,30,3.202857142857143,0.3828571428571429
0.65,0.35,0.7458646616541353,0.6922878625134263,30,3.2,0.3845757250268529
0.7,0.30000000000000004,0.7488721804511278,0.6917293233082706,30,3.2085714285714286,0.3834586466165414
0.75,0.25,0.7548872180451127,0.692201933404941,30,3.2,0.3844038668098818
0.8,0.19999999999999996,0.7548872180451127,0.6918582169709988,30,3.2114285714285713,0.38371643394199784
0.85,0.15000000000000002,0.7548872180451127,0.6920730397422126,30,3.2085714285714286,0.38414607948442536
0.9,0.09999999999999998,0.7624060150375939,0.692158968850698,30,3.2,0.38431793770139633
0.95,0.050000000000000044,0.7624060150375939,0.6917722878625133,29,3.2057142857142855,0.38354457572502687
